id,genders,ages,nationalities,number_of_stops,time_of_day,market_0,market_1,market_2,market_3,market_4,market_5,market_6,market_7,market_8,market_9,market_10,market_11,market_12,market_13,market_14,time_market_0,time_market_1,time_market_2,time_market_3,time_market_4,time_market_5,time_market_6,time_market_7,time_market_8,time_market_9,time_market_10,time_market_11,time_market_12,time_market_13,time_market_14,rate_market_0,rate_market_1,rate_market_2,rate_market_3,rate_market_4,rate_market_5,rate_market_6,rate_market_7,rate_market_8,rate_market_9,rate_market_10,rate_market_11,rate_market_12,rate_market_13,rate_market_14
0,female,21-35,Philippines,11,4PM-8PM,4,5,6,124,126,133,138,245,362,366,367,*,*,*,*,11,5,6,8,4,2,3,4,8,7,8,0,0,0,0,3,2,2,3,2,1,2,2,3,3,3,0,0,0,0
1,female,21-35,India,8,4PM-8PM,121,126,133,244,245,246,362,363,*,*,*,*,*,*,*,13,19,5,17,23,11,10,18,0,0,0,0,0,0,0,3,4,2,4,4,3,3,4,0,0,0,0,0,0,0
2,male,41-55,Philippines,8,11AM-1PM,1,6,7,120,121,135,256,374,*,*,*,*,*,*,*,8,8,10,11,13,14,10,11,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0
3,female,41-55,Philippines,9,8PM-12PM,5,109,114,120,124,243,258,362,363,*,*,*,*,*,*,5,17,7,7,19,12,17,18,19,0,0,0,0,0,0,2,4,3,3,4,3,4,4,4,0,0,0,0,0,0
4,female,21-35,Philippines,10,1PM-4PM,3,124,133,136,244,245,255,362,365,374,*,*,*,*,*,9,8,16,13,10,16,16,11,13,7,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0
5,male,21-35,Pakistan,7,12AM-8AM,3,4,135,136,139,245,260,*,*,*,*,*,*,*,*,6,28,16,10,32,21,36,0,0,0,0,0,0,0,0,2,5,3,3,5,4,5,0,0,0,0,0,0,0,0
6,male,36-40,India,9,12AM-8AM,4,5,123,126,252,256,257,366,372,*,*,*,*,*,*,13,16,10,4,11,22,20,12,7,0,0,0,0,0,0,3,3,3,2,3,4,4,3,3,0,0,0,0,0,0
7,female,21-35,India,9,4PM-8PM,2,121,126,133,136,244,255,362,365,*,*,*,*,*,*,12,10,13,14,15,15,7,5,17,0,0,0,0,0,0,3,3,3,3,3,3,3,2,4,0,0,0,0,0,0
8,male,21-35,Others,6,8PM-12PM,0,2,6,120,245,246,*,*,*,*,*,*,*,*,*,17,15,4,12,15,16,0,0,0,0,0,0,0,0,0,4,3,2,3,3,3,0,0,0,0,0,0,0,0,0
9,female,21-35,Nepal,8,12AM-8AM,0,1,3,114,136,141,245,256,*,*,*,*,*,*,*,19,5,24,26,20,5,6,13,0,0,0,0,0,0,0,4,2,5,5,4,2,2,3,0,0,0,0,0,0,0
10,female,41-55,Philippines,9,1PM-4PM,114,120,121,122,135,139,256,258,366,*,*,*,*,*,*,14,9,13,5,14,11,12,10,11,0,0,0,0,0,0,3,3,3,2,3,3,3,3,3,0,0,0,0,0,0
11,female,21-35,Philippines,11,1PM-4PM,1,4,5,109,110,124,247,248,361,362,364,*,*,*,*,13,13,10,8,17,12,3,9,13,15,20,0,0,0,0,3,3,3,3,4,3,2,3,3,3,4,0,0,0,0
12,male,36-40,Philippines,9,4PM-8PM,0,1,6,123,135,247,252,256,361,*,*,*,*,*,*,4,10,16,13,15,14,16,16,5,0,0,0,0,0,0,2,3,3,3,3,3,3,3,2,0,0,0,0,0,0
13,female,21-35,India,10,1PM-4PM,1,5,114,133,137,256,258,361,362,371,*,*,*,*,*,15,17,6,8,9,9,18,6,22,11,0,0,0,0,0,3,4,2,3,3,3,4,2,4,3,0,0,0,0,0
14,female,21-35,SriLanka,11,4PM-8PM,0,2,124,126,136,245,256,361,362,363,366,*,*,*,*,13,8,8,6,18,10,6,9,16,17,14,0,0,0,0,3,3,3,2,4,3,2,3,3,4,3,0,0,0,0
