id,genders,ages,nationalities,number_of_stops,time_of_day,market_0,market_1,market_2,market_3,market_4,market_5,market_6,market_7,market_8,market_9,market_10,market_11,market_12,market_13,market_14,time_market_0,time_market_1,time_market_2,time_market_3,time_market_4,time_market_5,time_market_6,time_market_7,time_market_8,time_market_9,time_market_10,time_market_11,time_market_12,time_market_13,time_market_14,rate_market_0,rate_market_1,rate_market_2,rate_market_3,rate_market_4,rate_market_5,rate_market_6,rate_market_7,rate_market_8,rate_market_9,rate_market_10,rate_market_11,rate_market_12,rate_market_13,rate_market_14
0,male,36-40,Nepal,6,11AM-1PM,1,7,126,127,136,252,*,*,*,*,*,*,*,*,*,17,37,15,35,21,22,0,0,0,0,0,0,0,0,0,4,5,3,5,4,4,0,0,0,0,0,0,0,0,0
1,female,41-55,Philippines,8,11AM-1PM,5,109,126,135,256,258,370,374,*,*,*,*,*,*,*,6,10,10,17,12,10,16,6,0,0,0,0,0,0,0,2,3,3,4,3,3,3,2,0,0,0,0,0,0,0
2,female,21-35,Philippines,7,8PM-12PM,120,139,244,245,248,257,368,*,*,*,*,*,*,*,*,14,16,10,19,9,6,25,0,0,0,0,0,0,0,0,3,3,3,4,3,2,5,0,0,0,0,0,0,0,0
3,male,55-99,BAE,8,12AM-8AM,4,5,6,109,256,257,363,367,*,*,*,*,*,*,*,11,14,7,15,9,12,10,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0
4,male,21-35,BAE,9,4PM-8PM,2,5,121,134,138,247,257,362,363,*,*,*,*,*,*,8,12,12,10,9,10,2,9,6,0,0,0,0,0,0,3,3,3,3,3,3,1,3,2,0,0,0,0,0,0
5,female,21-35,India,8,11AM-1PM,0,2,109,127,361,362,363,366,*,*,*,*,*,*,*,6,11,15,30,10,12,5,17,0,0,0,0,0,0,0,2,3,3,5,3,3,2,4,0,0,0,0,0,0,0
6,male,21-35,Philippines,9,8PM-12PM,0,3,5,133,134,245,247,361,362,*,*,*,*,*,*,7,8,9,12,26,9,9,28,21,0,0,0,0,0,0,3,3,3,3,5,3,3,5,4,0,0,0,0,0,0
7,female,21-35,India,9,8AM-11AM,0,120,121,124,245,256,361,362,365,*,*,*,*,*,*,10,8,6,6,11,15,14,10,8,0,0,0,0,0,0,3,3,2,2,3,3,3,3,3,0,0,0,0,0,0
8,male,36-40,India,7,1PM-4PM,3,4,123,256,361,363,372,*,*,*,*,*,*,*,*,28,17,29,6,12,14,13,0,0,0,0,0,0,0,0,5,4,5,2,3,3,3,0,0,0,0,0,0,0,0
9,female,21-35,India,8,4PM-8PM,2,5,114,126,133,244,245,258,*,*,*,*,*,*,*,14,12,11,11,14,12,14,10,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0
10,female,21-35,Philippines,8,1PM-4PM,3,109,135,244,252,257,364,371,*,*,*,*,*,*,*,5,25,12,26,21,8,17,13,0,0,0,0,0,0,0,2,5,3,5,4,3,4,3,0,0,0,0,0,0,0
11,male,21-35,Philippines,8,12AM-8AM,1,120,130,133,135,136,245,367,*,*,*,*,*,*,*,17,6,17,17,10,8,5,17,0,0,0,0,0,0,0,4,2,4,4,3,3,2,4,0,0,0,0,0,0,0
12,male,21-35,Others,8,1PM-4PM,0,4,109,130,133,136,361,374,*,*,*,*,*,*,*,35,23,19,35,7,20,6,20,0,0,0,0,0,0,0,5,4,4,5,3,4,2,4,0,0,0,0,0,0,0
13,male,55-99,Philippines,7,4PM-8PM,109,127,135,246,252,362,371,*,*,*,*,*,*,*,*,17,10,12,13,5,3,7,0,0,0,0,0,0,0,0,4,3,3,3,2,2,3,0,0,0,0,0,0,0,0
14,female,41-55,India,9,12AM-8AM,5,110,136,252,256,257,258,259,363,*,*,*,*,*,*,15,18,31,11,13,13,8,17,10,0,0,0,0,0,0,3,4,5,3,3,3,3,4,3,0,0,0,0,0,0
15,male,21-35,BAE,8,12AM-8AM,3,4,5,120,136,139,249,256,*,*,*,*,*,*,*,5,7,7,7,9,3,5,2,0,0,0,0,0,0,0,2,3,3,3,3,2,2,1,0,0,0,0,0,0,0
16,male,21-35,India,7,8AM-11AM,135,139,245,247,257,361,370,*,*,*,*,*,*,*,*,30,11,9,9,34,36,10,0,0,0,0,0,0,0,0,5,3,3,3,5,5,3,0,0,0,0,0,0,0,0
17,male,36-40,Pakistan,9,8AM-11AM,4,135,138,247,250,252,256,257,374,*,*,*,*,*,*,9,7,30,20,14,9,32,13,22,0,0,0,0,0,0,3,3,5,4,3,3,5,3,4,0,0,0,0,0,0
18,male,21-35,Others,7,4PM-8PM,2,3,120,133,136,245,366,*,*,*,*,*,*,*,*,7,8,11,25,21,34,20,0,0,0,0,0,0,0,0,3,3,3,5,4,5,4,0,0,0,0,0,0,0,0
19,male,41-55,Pakistan,8,8AM-11AM,6,109,121,124,255,257,258,371,*,*,*,*,*,*,*,12,22,23,14,5,6,5,19,0,0,0,0,0,0,0,3,4,4,3,2,2,2,4,0,0,0,0,0,0,0
20,female,21-35,Others,10,4PM-8PM,2,3,5,133,135,244,248,256,361,367,*,*,*,*,*,6,13,15,11,4,13,3,20,18,9,0,0,0,0,0,2,3,3,3,2,3,2,4,4,3,0,0,0,0,0
21,female,21-35,Philippines,8,4PM-8PM,0,120,123,135,138,245,258,365,*,*,*,*,*,*,*,21,15,16,20,21,8,20,18,0,0,0,0,0,0,0,4,3,3,4,4,3,4,4,0,0,0,0,0,0,0
22,female,41-55,India,12,8AM-11AM,2,4,5,6,119,120,124,133,135,245,252,256,*,*,*,12,17,10,8,12,10,7,13,13,13,5,9,0,0,0,3,4,3,3,3,3,3,3,3,3,2,3,0,0,0
23,male,41-55,Philippines,6,8AM-11AM,2,119,121,133,255,258,*,*,*,*,*,*,*,*,*,15,25,19,38,35,24,0,0,0,0,0,0,0,0,0,3,5,4,5,5,5,0,0,0,0,0,0,0,0,0
24,male,21-35,India,8,8PM-12PM,1,3,133,135,136,246,250,361,*,*,*,*,*,*,*,16,14,11,12,25,19,19,35,0,0,0,0,0,0,0,3,3,3,3,5,4,4,5,0,0,0,0,0,0,0
25,male,21-35,Philippines,8,12AM-8AM,0,120,136,245,255,361,365,366,*,*,*,*,*,*,*,21,17,18,20,24,8,16,15,0,0,0,0,0,0,0,4,4,4,4,5,3,3,3,0,0,0,0,0,0,0
26,female,21-35,Philippines,11,8AM-11AM,0,5,109,120,127,135,247,255,361,362,367,*,*,*,*,5,6,17,6,16,8,12,11,19,17,15,0,0,0,0,2,2,4,2,3,3,3,3,4,4,3,0,0,0,0
27,female,41-55,Philippines,10,8PM-12PM,4,5,6,109,121,124,127,252,255,258,*,*,*,*,*,15,4,11,6,11,7,19,10,16,12,0,0,0,0,0,3,2,3,2,3,3,4,3,3,3,0,0,0,0,0
28,male,21-35,India,8,8AM-11AM,1,2,109,245,247,248,252,256,*,*,*,*,*,*,*,16,18,16,9,9,7,11,8,0,0,0,0,0,0,0,3,4,3,3,3,3,3,3,0,0,0,0,0,0,0
29,male,21-35,Pakistan,8,8AM-11AM,0,4,121,127,133,139,250,362,*,*,*,*,*,*,*,22,21,12,9,7,6,21,20,0,0,0,0,0,0,0,4,4,3,3,3,2,4,4,0,0,0,0,0,0,0
30,male,21-35,India,6,8PM-12PM,2,6,121,129,252,257,*,*,*,*,*,*,*,*,*,4,13,13,8,11,8,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0
31,female,21-35,Pakistan,9,4PM-8PM,121,127,135,248,249,252,256,362,363,*,*,*,*,*,*,21,22,13,18,17,19,14,9,5,0,0,0,0,0,0,4,4,3,4,4,4,3,3,2,0,0,0,0,0,0
32,female,21-35,India,10,11AM-1PM,117,119,134,139,244,245,246,252,256,367,*,*,*,*,*,8,13,3,13,5,6,4,10,4,12,0,0,0,0,0,3,3,2,3,2,2,2,3,2,3,0,0,0,0,0
33,male,21-35,Others,6,8AM-11AM,1,2,116,135,361,371,*,*,*,*,*,*,*,*,*,20,8,8,30,33,11,0,0,0,0,0,0,0,0,0,4,3,3,5,5,3,0,0,0,0,0,0,0,0,0
34,male,41-55,India,8,4PM-8PM,6,109,121,126,250,256,258,361,*,*,*,*,*,*,*,14,15,12,18,11,7,5,10,0,0,0,0,0,0,0,3,3,3,4,3,3,2,3,0,0,0,0,0,0,0
35,male,21-35,Philippines,8,1PM-4PM,123,130,136,252,256,361,362,363,*,*,*,*,*,*,*,3,13,5,10,15,9,10,12,0,0,0,0,0,0,0,2,3,2,3,3,3,3,3,0,0,0,0,0,0,0
36,male,41-55,Others,7,1PM-4PM,1,109,110,126,130,244,258,*,*,*,*,*,*,*,*,28,26,13,27,15,10,6,0,0,0,0,0,0,0,0,5,5,3,5,3,3,2,0,0,0,0,0,0,0,0
37,female,21-35,Others,9,8AM-11AM,0,3,5,120,121,139,255,258,361,*,*,*,*,*,*,25,7,6,8,16,31,30,7,25,0,0,0,0,0,0,5,3,2,3,3,5,5,3,5,0,0,0,0,0,0
38,male,21-35,Philippines,8,11AM-1PM,0,1,2,126,135,137,252,371,*,*,*,*,*,*,*,16,6,12,15,14,21,8,16,0,0,0,0,0,0,0,3,2,3,3,3,4,3,3,0,0,0,0,0,0,0
39,female,21-35,Philippines,11,4PM-8PM,1,4,110,124,135,136,139,244,245,247,362,*,*,*,*,10,6,7,6,9,10,4,2,2,2,8,0,0,0,0,3,2,3,2,3,3,2,1,1,1,3,0,0,0,0
40,female,36-40,Philippines,11,12AM-8AM,2,3,4,124,136,139,256,257,366,369,370,*,*,*,*,12,16,12,3,7,8,12,10,8,10,13,0,0,0,0,3,3,3,2,3,3,3,3,3,3,3,0,0,0,0
41,male,21-35,Pakistan,9,8PM-12PM,0,3,122,127,128,246,248,252,362,*,*,*,*,*,*,12,4,15,18,6,16,10,16,7,0,0,0,0,0,0,3,2,3,4,2,3,3,3,3,0,0,0,0,0,0
42,female,41-55,Others,10,11AM-1PM,3,120,127,128,133,135,248,255,258,371,*,*,*,*,*,8,17,25,6,11,22,10,15,29,29,0,0,0,0,0,3,4,5,2,3,4,3,3,5,5,0,0,0,0,0
43,male,21-35,Philippines,9,4PM-8PM,0,109,121,125,244,252,255,361,362,*,*,*,*,*,*,18,16,13,17,5,4,17,11,7,0,0,0,0,0,0,4,3,3,4,2,2,4,3,3,0,0,0,0,0,0
44,male,55-99,Others,9,1PM-4PM,2,3,6,117,120,126,252,257,365,*,*,*,*,*,*,19,6,20,7,14,23,12,11,20,0,0,0,0,0,0,4,2,4,3,3,4,3,3,4,0,0,0,0,0,0
45,female,21-35,Philippines,9,4PM-8PM,0,4,121,135,139,245,249,363,365,*,*,*,*,*,*,13,7,12,10,15,3,8,5,8,0,0,0,0,0,0,3,3,3,3,3,2,3,2,3,0,0,0,0,0,0
46,male,21-35,India,7,8AM-11AM,3,133,135,136,247,362,368,*,*,*,*,*,*,*,*,21,34,22,28,28,8,33,0,0,0,0,0,0,0,0,4,5,4,5,5,3,5,0,0,0,0,0,0,0,0
47,male,36-40,Pakistan,8,11AM-1PM,1,4,125,252,256,258,362,363,*,*,*,*,*,*,*,19,29,8,10,26,6,7,15,0,0,0,0,0,0,0,4,5,3,3,5,2,3,3,0,0,0,0,0,0,0
48,male,21-35,Philippines,7,11AM-1PM,1,6,133,135,362,367,371,*,*,*,*,*,*,*,*,14,15,4,4,16,13,8,0,0,0,0,0,0,0,0,3,3,2,2,3,3,3,0,0,0,0,0,0,0,0
49,female,21-35,Others,9,8AM-11AM,0,2,5,124,130,135,244,255,256,*,*,*,*,*,*,23,9,6,17,10,21,11,13,7,0,0,0,0,0,0,4,3,2,4,3,4,3,3,3,0,0,0,0,0,0
50,male,21-35,India,8,8PM-12PM,1,123,133,140,245,252,363,370,*,*,*,*,*,*,*,19,9,7,14,22,6,14,24,0,0,0,0,0,0,0,4,3,3,3,4,2,3,5,0,0,0,0,0,0,0
51,female,21-35,India,10,8AM-11AM,4,5,110,119,120,121,139,245,255,367,*,*,*,*,*,21,7,5,14,22,12,17,21,6,8,0,0,0,0,0,4,3,2,3,4,3,4,4,2,3,0,0,0,0,0
52,male,21-35,India,8,1PM-4PM,0,1,109,127,248,252,362,367,*,*,*,*,*,*,*,8,15,5,13,16,15,6,3,0,0,0,0,0,0,0,3,3,2,3,3,3,2,2,0,0,0,0,0,0,0
